trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.75, 'e': 0.9622510597349656}",20,0,-159.13544118393995,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
145,False,"{'a': 0.75, 'e': 0.9617319471968474}",25,0,-170.36578040627916,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
146,False,"{'a': 0.75, 'e': 0.96120935926402}",35,0,-192.68821152525874,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
147,False,"{'a': 0.75, 'e': 0.9606832978249507}",20,0,-127.93183781621988,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
148,False,"{'a': 0.75, 'e': 0.960153764780659}",25,0,-128.01101752615173,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
149,False,"{'a': 0.75, 'e': 0.9596207620447095}",30,0,-80.52292751067338,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.75, 'e': 0.9590842915432054}",20,0,-112.40803467004685,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
151,False,"{'a': 0.75, 'e': 0.9585443552147812}",30,0,-42.472476799106,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
152,False,"{'a': 0.75, 'e': 0.9580009550105959}",20,0,-70.61203392630995,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
153,False,"{'a': 0.75, 'e': 0.9574540928943256}",25,0,-113.8298449159572,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
154,False,"{'a': 0.75, 'e': 0.9569037708421569}",25,0,-52.175649737132446,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
155,False,"{'a': 0.75, 'e': 0.9563499908427795}",35,0,-167.2751148886371,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
156,False,"{'a': 0.75, 'e': 0.9557927548973788}",25,0,-82.24068952907841,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
157,False,"{'a': 0.75, 'e': 0.9552320650196292}",20,0,-19.467476853637653,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
158,False,"{'a': 0.75, 'e': 0.9546679232356862}",25,0,-82.54179824144195,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
159,False,"{'a': 0.75, 'e': 0.9541003315841797}",30,0,-74.00441805133553,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
160,False,"{'a': 0.75, 'e': 0.9535292921162061}",20,0,-107.38784550315205,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.75, 'e': 0.9529548068953213}",20,0,-72.35301485096711,"{0: 10, 1: 7, 2: 1, 3: 2, 4: 0}",0
162,False,"{'a': 0.75, 'e': 0.9523768779975329}",25,0,-173.53544018553697,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
163,False,"{'a': 0.75, 'e': 0.951795507511293}",20,0,-65.29014841642417,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
164,False,"{'a': 0.75, 'e': 0.9512106975374903}",25,0,-229.32064272634457,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
165,False,"{'a': 0.75, 'e': 0.950622450189443}",25,0,-34.25534734227409,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
166,False,"{'a': 0.75, 'e': 0.9500307675928907}",25,0,-39.847515928355904,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.75, 'e': 0.9494356518859869}",30,0,-196.8773248791452,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
168,False,"{'a': 0.75, 'e': 0.9488371052192913}",20,0,-78.72528795400153,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
169,False,"{'a': 0.75, 'e': 0.9482351297557621}",30,0,-296.7568543647747,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 5}",0
170,False,"{'a': 0.75, 'e': 0.9476297276707478}",20,0,-116.31325296150906,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
171,False,"{'a': 0.75, 'e': 0.9470209011519801}",25,16,7.858295046846517,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
